Country of residence,Origin,Year,Month,Values
Denmark,Burundi,2003,August,9
Denmark,Burundi,2003,September,4
Denmark,Burundi,2003,October,3
Denmark,Burundi,2003,November,1
Denmark,Burundi,2003,December,6
Finland,Burundi,2003,May,1
France,Burundi,2003,January,3
France,Burundi,2003,February,9
France,Burundi,2003,March,7
France,Burundi,2003,April,9
France,Burundi,2003,May,4
France,Burundi,2003,June,7
France,Burundi,2003,July,13
France,Burundi,2003,August,6
France,Burundi,2003,September,2
France,Burundi,2003,October,8
France,Burundi,2003,November,14
France,Burundi,2003,December,7
Germany,Burundi,2003,January,7
Germany,Burundi,2003,February,7
Germany,Burundi,2003,March,4
Germany,Burundi,2003,April,9
Germany,Burundi,2003,May,3
Germany,Burundi,2003,June,8
Germany,Burundi,2003,July,6
Germany,Burundi,2003,August,5
Germany,Burundi,2003,September,5
Germany,Burundi,2003,October,4
Germany,Burundi,2003,November,5
Germany,Burundi,2003,December,6
Greece,Burundi,2003,January,1
Greece,Burundi,2003,February,2
Greece,Burundi,2003,March,3
Greece,Burundi,2003,April,3
Greece,Burundi,2003,May,3
Greece,Burundi,2003,June,3
Greece,Burundi,2003,August,5
Greece,Burundi,2003,September,5
Greece,Burundi,2003,November,1
Ireland,Burundi,2003,March,3
Ireland,Burundi,2003,April,1
Ireland,Burundi,2003,May,2
Ireland,Burundi,2003,July,3
Ireland,Burundi,2003,August,4
Ireland,Burundi,2003,September,3
Ireland,Burundi,2003,October,5
Ireland,Burundi,2003,November,6
Ireland,Burundi,2003,December,5
Japan,Burundi,2003,March,1
Japan,Burundi,2003,June,1
Luxembourg,Burundi,2003,January,1
Luxembourg,Burundi,2003,February,5
Luxembourg,Burundi,2003,March,3
Luxembourg,Burundi,2003,May,4
Luxembourg,Burundi,2003,June,5
Luxembourg,Burundi,2003,July,2
Luxembourg,Burundi,2003,August,2
Luxembourg,Burundi,2003,September,1
Luxembourg,Burundi,2003,October,1
Luxembourg,Burundi,2003,November,3
Luxembourg,Burundi,2003,December,3
Netherlands,Burundi,2003,January,30
Netherlands,Burundi,2003,February,32
Netherlands,Burundi,2003,March,18
Netherlands,Burundi,2003,April,21
Netherlands,Burundi,2003,May,28
Netherlands,Burundi,2003,June,16
Netherlands,Burundi,2003,July,49
Netherlands,Burundi,2003,August,48
Netherlands,Burundi,2003,September,55
Netherlands,Burundi,2003,October,47
Netherlands,Burundi,2003,November,40
Netherlands,Burundi,2003,December,18
New Zealand,Burundi,2003,July,1
Norway,Burundi,2003,January,5
Norway,Burundi,2003,February,7
Norway,Burundi,2003,March,8
Norway,Burundi,2003,April,11
Norway,Burundi,2003,May,4
Norway,Burundi,2003,June,8
Norway,Burundi,2003,July,14
Norway,Burundi,2003,August,21
Norway,Burundi,2003,September,11
Norway,Burundi,2003,October,5
Norway,Burundi,2003,November,12
Norway,Burundi,2003,December,14
Rep. of Korea,Burundi,2003,September,1
Slovakia,Burundi,2003,May,1
Spain,Burundi,2003,May,1
Spain,Burundi,2003,August,1
Spain,Burundi,2003,October,2
Sweden,Burundi,2003,January,20
Sweden,Burundi,2003,February,7
Sweden,Burundi,2003,March,6
Sweden,Burundi,2003,April,14
Sweden,Burundi,2003,May,12
Sweden,Burundi,2003,June,18
Sweden,Burundi,2003,July,22
Sweden,Burundi,2003,August,31
Sweden,Burundi,2003,September,36
Sweden,Burundi,2003,October,24
Sweden,Burundi,2003,November,18
Sweden,Burundi,2003,December,29
Switzerland,Burundi,2003,January,2
Switzerland,Burundi,2003,February,3
Switzerland,Burundi,2003,March,3
Switzerland,Burundi,2003,April,3
Switzerland,Burundi,2003,May,1
Switzerland,Burundi,2003,June,6
Switzerland,Burundi,2003,July,2
Switzerland,Burundi,2003,August,2
Switzerland,Burundi,2003,September,1
Switzerland,Burundi,2003,October,8
Switzerland,Burundi,2003,November,9
Switzerland,Burundi,2003,December,3
Turkey,Burundi,2003,January,2
Turkey,Burundi,2003,September,1
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,January,141
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,February,47
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,March,56
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,April,47
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,May,69
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,June,66
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,July,55
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,August,70
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,September,74
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,October,67
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,November,34
United Kingdom of Great Britain and Northern Ireland,Burundi,2003,December,52
USA (EOIR),Burundi,2003,May,2
USA (EOIR),Burundi,2003,June,1
USA (EOIR),Burundi,2003,July,1
USA (EOIR),Burundi,2003,October,1
USA (EOIR),Burundi,2003,November,2
USA (INS/DHS),Burundi,2003,January,10
USA (INS/DHS),Burundi,2003,February,10
USA (INS/DHS),Burundi,2003,April,7
USA (INS/DHS),Burundi,2003,August,9
USA (INS/DHS),Burundi,2003,September,7
USA (INS/DHS),Burundi,2003,December,7
Australia,Burundi,2004,July,1
Austria,Burundi,2004,January,4
Austria,Burundi,2004,April,2
Austria,Burundi,2004,June,2
Austria,Burundi,2004,August,2
Austria,Burundi,2004,September,1
Austria,Burundi,2004,October,1
Austria,Burundi,2004,December,2
Belgium,Burundi,2004,January,14
Belgium,Burundi,2004,February,17
Belgium,Burundi,2004,March,16
Belgium,Burundi,2004,April,13
Belgium,Burundi,2004,May,9
Belgium,Burundi,2004,June,11
Belgium,Burundi,2004,July,18
Belgium,Burundi,2004,August,25
Belgium,Burundi,2004,September,20
Belgium,Burundi,2004,October,24
Belgium,Burundi,2004,November,19
Belgium,Burundi,2004,December,13
Canada,Burundi,2004,January,8
Canada,Burundi,2004,February,1
Canada,Burundi,2004,March,6
Canada,Burundi,2004,April,3
Canada,Burundi,2004,May,7
Canada,Burundi,2004,June,5
Canada,Burundi,2004,July,20
Canada,Burundi,2004,August,24
Canada,Burundi,2004,September,34
Canada,Burundi,2004,October,13
Canada,Burundi,2004,November,20
Canada,Burundi,2004,December,15
Croatia,Burundi,2004,February,1
Denmark,Burundi,2004,January,8
Denmark,Burundi,2004,February,1
Denmark,Burundi,2004,March,1
Denmark,Burundi,2004,April,2
Denmark,Burundi,2004,May,2
Denmark,Burundi,2004,June,3
Denmark,Burundi,2004,July,4
Denmark,Burundi,2004,August,3
Denmark,Burundi,2004,September,1
Denmark,Burundi,2004,November,1
Denmark,Burundi,2004,December,1
France,Burundi,2004,January,2
France,Burundi,2004,February,5
France,Burundi,2004,March,9
France,Burundi,2004,April,1
France,Burundi,2004,May,3
France,Burundi,2004,June,3
France,Burundi,2004,July,6
France,Burundi,2004,August,3
France,Burundi,2004,September,6
France,Burundi,2004,October,10
France,Burundi,2004,November,3
France,Burundi,2004,December,12
Germany,Burundi,2004,January,10
Germany,Burundi,2004,February,2
Germany,Burundi,2004,March,2
Germany,Burundi,2004,April,5
Germany,Burundi,2004,June,2
Germany,Burundi,2004,July,3
Germany,Burundi,2004,August,3
Germany,Burundi,2004,September,4
Germany,Burundi,2004,October,4
Germany,Burundi,2004,November,3
Germany,Burundi,2004,December,2
Greece,Burundi,2004,April,1
Greece,Burundi,2004,August,2
Greece,Burundi,2004,October,1
Greece,Burundi,2004,December,1
Hungary,Burundi,2004,March,1
Ireland,Burundi,2004,January,3
Ireland,Burundi,2004,February,7
Ireland,Burundi,2004,March,5
Ireland,Burundi,2004,April,4
Ireland,Burundi,2004,June,2
Ireland,Burundi,2004,July,2
Ireland,Burundi,2004,August,2
Ireland,Burundi,2004,September,2
Ireland,Burundi,2004,October,3
Ireland,Burundi,2004,November,3
Ireland,Burundi,2004,December,2
Japan,Burundi,2004,February,1
Japan,Burundi,2004,November,1
Luxembourg,Burundi,2004,January,1
Luxembourg,Burundi,2004,March,3
Luxembourg,Burundi,2004,May,2
Luxembourg,Burundi,2004,June,1
Luxembourg,Burundi,2004,July,2
Luxembourg,Burundi,2004,August,1
Luxembourg,Burundi,2004,September,1
Luxembourg,Burundi,2004,November,2
Netherlands,Burundi,2004,January,35
Netherlands,Burundi,2004,February,47
Netherlands,Burundi,2004,March,21
Netherlands,Burundi,2004,April,27
Netherlands,Burundi,2004,May,31
Netherlands,Burundi,2004,June,30
Netherlands,Burundi,2004,July,29
Netherlands,Burundi,2004,August,27
Netherlands,Burundi,2004,September,51
Netherlands,Burundi,2004,October,47
Netherlands,Burundi,2004,November,40
Netherlands,Burundi,2004,December,20
New Zealand,Burundi,2004,June,1
Norway,Burundi,2004,January,5
Norway,Burundi,2004,February,8
Norway,Burundi,2004,March,7
Norway,Burundi,2004,April,8
Norway,Burundi,2004,May,10
Norway,Burundi,2004,June,7
Norway,Burundi,2004,July,14
Norway,Burundi,2004,August,12
Norway,Burundi,2004,September,14
Norway,Burundi,2004,October,14
Norway,Burundi,2004,November,19
Norway,Burundi,2004,December,15
Poland,Burundi,2004,September,1
Portugal,Burundi,2004,April,1
Slovenia,Burundi,2004,May,1
Spain,Burundi,2004,February,2
Spain,Burundi,2004,March,1
Spain,Burundi,2004,May,1
Spain,Burundi,2004,October,3
Sweden,Burundi,2004,January,32
Sweden,Burundi,2004,February,24
Sweden,Burundi,2004,March,20
Sweden,Burundi,2004,April,18
Sweden,Burundi,2004,May,25
Sweden,Burundi,2004,June,26
Sweden,Burundi,2004,July,36
Sweden,Burundi,2004,August,55
Sweden,Burundi,2004,September,45
Sweden,Burundi,2004,October,36
Sweden,Burundi,2004,November,31
Sweden,Burundi,2004,December,45
Switzerland,Burundi,2004,January,4
Switzerland,Burundi,2004,February,1
Switzerland,Burundi,2004,March,5
Switzerland,Burundi,2004,April,3
Switzerland,Burundi,2004,May,1
Switzerland,Burundi,2004,June,4
Switzerland,Burundi,2004,August,3
Switzerland,Burundi,2004,September,2
Switzerland,Burundi,2004,October,4
Switzerland,Burundi,2004,November,2
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,January,39
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,February,31
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,March,41
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,April,26
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,May,24
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,June,26
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,July,11
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,August,20
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,September,23
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,October,26
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,November,23
United Kingdom of Great Britain and Northern Ireland,Burundi,2004,December,27
USA (INS/DHS),Burundi,2004,March,5
USA (INS/DHS),Burundi,2004,June,6
Australia,Burundi,2005,September,1
Austria,Burundi,2005,February,1
Austria,Burundi,2005,September,1
Belgium,Burundi,2005,January,13
Belgium,Burundi,2005,February,8
Belgium,Burundi,2005,March,8
Belgium,Burundi,2005,April,14
Belgium,Burundi,2005,May,6
Belgium,Burundi,2005,June,13
Belgium,Burundi,2005,July,14
Belgium,Burundi,2005,August,13
Belgium,Burundi,2005,September,15
Belgium,Burundi,2005,October,11
Belgium,Burundi,2005,November,5
Belgium,Burundi,2005,December,9
Canada,Burundi,2005,January,14
Canada,Burundi,2005,February,12
Canada,Burundi,2005,March,9
Canada,Burundi,2005,April,8
Canada,Burundi,2005,May,3
Canada,Burundi,2005,June,8
Canada,Burundi,2005,July,13
Canada,Burundi,2005,August,24
Canada,Burundi,2005,September,17
Canada,Burundi,2005,October,15
Canada,Burundi,2005,November,17
Canada,Burundi,2005,December,27
Denmark,Burundi,2005,January,3
Denmark,Burundi,2005,February,5
Denmark,Burundi,2005,April,5
Denmark,Burundi,2005,June,2
Denmark,Burundi,2005,July,1
Denmark,Burundi,2005,August,1
Denmark,Burundi,2005,October,1
Finland,Burundi,2005,December,1
France,Burundi,2005,January,9
France,Burundi,2005,February,7
France,Burundi,2005,March,7
France,Burundi,2005,April,5
France,Burundi,2005,May,4
France,Burundi,2005,July,4
France,Burundi,2005,August,3
France,Burundi,2005,September,2
France,Burundi,2005,October,2
Germany,Burundi,2005,January,2
Germany,Burundi,2005,February,4
Germany,Burundi,2005,March,4
Germany,Burundi,2005,April,1
Germany,Burundi,2005,May,3
Germany,Burundi,2005,June,3
Germany,Burundi,2005,July,1
Germany,Burundi,2005,August,4
Germany,Burundi,2005,September,3
Germany,Burundi,2005,October,2
Germany,Burundi,2005,November,2
Germany,Burundi,2005,December,1
Greece,Burundi,2005,May,2
Greece,Burundi,2005,June,3
Greece,Burundi,2005,July,3
Greece,Burundi,2005,October,1
Greece,Burundi,2005,November,1
Greece,Burundi,2005,December,4
Ireland,Burundi,2005,January,3
Ireland,Burundi,2005,March,4
Ireland,Burundi,2005,April,1
Ireland,Burundi,2005,May,1
Ireland,Burundi,2005,June,2
Ireland,Burundi,2005,July,2
Ireland,Burundi,2005,August,1
Ireland,Burundi,2005,September,3
Ireland,Burundi,2005,October,2
Ireland,Burundi,2005,November,2
Japan,Burundi,2005,June,1
Luxembourg,Burundi,2005,January,1
Luxembourg,Burundi,2005,February,1
Luxembourg,Burundi,2005,April,1
Luxembourg,Burundi,2005,May,1
Luxembourg,Burundi,2005,August,1
Netherlands,Burundi,2005,January,34
Netherlands,Burundi,2005,February,31
Netherlands,Burundi,2005,March,26
Netherlands,Burundi,2005,April,30
Netherlands,Burundi,2005,May,22
Netherlands,Burundi,2005,June,41
Netherlands,Burundi,2005,July,41
Netherlands,Burundi,2005,August,39
Netherlands,Burundi,2005,September,33
Netherlands,Burundi,2005,October,57
Netherlands,Burundi,2005,November,40
Netherlands,Burundi,2005,December,25
Norway,Burundi,2005,January,11
Norway,Burundi,2005,February,2
Norway,Burundi,2005,March,8
Norway,Burundi,2005,April,3
Norway,Burundi,2005,May,6
Norway,Burundi,2005,June,8
Norway,Burundi,2005,July,7
Norway,Burundi,2005,August,27
Norway,Burundi,2005,September,6
Norway,Burundi,2005,October,11
Norway,Burundi,2005,November,3
Norway,Burundi,2005,December,8
Poland,Burundi,2005,April,1
Portugal,Burundi,2005,February,1
Portugal,Burundi,2005,April,1
Spain,Burundi,2005,March,1
Spain,Burundi,2005,April,1
Spain,Burundi,2005,May,2
Spain,Burundi,2005,July,2
Sweden,Burundi,2005,January,52
Sweden,Burundi,2005,February,28
Sweden,Burundi,2005,March,26
Sweden,Burundi,2005,April,21
Sweden,Burundi,2005,May,40
Sweden,Burundi,2005,June,22
Sweden,Burundi,2005,July,41
Sweden,Burundi,2005,August,75
Sweden,Burundi,2005,September,51
Sweden,Burundi,2005,October,26
Sweden,Burundi,2005,November,22
Sweden,Burundi,2005,December,23
Switzerland,Burundi,2005,January,3
Switzerland,Burundi,2005,February,1
Switzerland,Burundi,2005,April,5
Switzerland,Burundi,2005,May,1
Switzerland,Burundi,2005,July,3
Switzerland,Burundi,2005,August,1
Switzerland,Burundi,2005,September,2
Switzerland,Burundi,2005,November,2
Switzerland,Burundi,2005,December,2
Turkey,Burundi,2005,September,4
Turkey,Burundi,2005,November,1
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,January,17
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,February,17
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,March,7
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,April,9
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,May,7
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,June,6
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,July,7
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,August,18
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,September,10
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,October,7
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,November,2
United Kingdom of Great Britain and Northern Ireland,Burundi,2005,December,2
USA (EOIR),Burundi,2005,February,1
USA (EOIR),Burundi,2005,October,1
USA (INS/DHS),Burundi,2005,January,2
USA (INS/DHS),Burundi,2005,February,2
USA (INS/DHS),Burundi,2005,March,3
USA (INS/DHS),Burundi,2005,April,4
USA (INS/DHS),Burundi,2005,May,3
USA (INS/DHS),Burundi,2005,June,1
USA (INS/DHS),Burundi,2005,July,2
USA (INS/DHS),Burundi,2005,August,7
USA (INS/DHS),Burundi,2005,September,2
USA (INS/DHS),Burundi,2005,October,7
USA (INS/DHS),Burundi,2005,November,3
USA (INS/DHS),Burundi,2005,December,5
Austria,Burundi,2006,January,4
Austria,Burundi,2006,May,1
Belgium,Burundi,2006,January,11
Belgium,Burundi,2006,February,7
Belgium,Burundi,2006,March,3
Belgium,Burundi,2006,April,8
Belgium,Burundi,2006,May,3
Belgium,Burundi,2006,June,6
Belgium,Burundi,2006,July,8
Belgium,Burundi,2006,August,6
Belgium,Burundi,2006,September,11
Belgium,Burundi,2006,October,8
Belgium,Burundi,2006,November,4
Belgium,Burundi,2006,December,13
Canada,Burundi,2006,January,24
Canada,Burundi,2006,February,21
Canada,Burundi,2006,March,12
Canada,Burundi,2006,April,15
Canada,Burundi,2006,May,23
Canada,Burundi,2006,June,31
Canada,Burundi,2006,July,43
Canada,Burundi,2006,August,90
Canada,Burundi,2006,September,65
Canada,Burundi,2006,October,47
Canada,Burundi,2006,November,16
Canada,Burundi,2006,December,48
Denmark,Burundi,2006,May,1
Denmark,Burundi,2006,August,2
Finland,Burundi,2006,December,1
France,Burundi,2006,January,1
France,Burundi,2006,February,1
France,Burundi,2006,March,2
France,Burundi,2006,April,6
France,Burundi,2006,May,1
France,Burundi,2006,June,1
France,Burundi,2006,July,2
France,Burundi,2006,August,2
France,Burundi,2006,September,1
France,Burundi,2006,October,3
France,Burundi,2006,November,1
France,Burundi,2006,December,7
Germany,Burundi,2006,January,2
Germany,Burundi,2006,February,2
Germany,Burundi,2006,March,5
Germany,Burundi,2006,April,3
Germany,Burundi,2006,June,3
Germany,Burundi,2006,August,1
Germany,Burundi,2006,September,2
Germany,Burundi,2006,October,1
Germany,Burundi,2006,November,1
Germany,Burundi,2006,December,2
Greece,Burundi,2006,January,4
Greece,Burundi,2006,April,1
Greece,Burundi,2006,May,1
Greece,Burundi,2006,August,1
Greece,Burundi,2006,September,1
Greece,Burundi,2006,October,6
Greece,Burundi,2006,November,3
Greece,Burundi,2006,December,1
Ireland,Burundi,2006,January,2
Ireland,Burundi,2006,February,1
Ireland,Burundi,2006,March,2
Ireland,Burundi,2006,April,1
Ireland,Burundi,2006,May,6
Ireland,Burundi,2006,September,1
Ireland,Burundi,2006,October,9
Ireland,Burundi,2006,November,2
Ireland,Burundi,2006,December,3
Japan,Burundi,2006,March,1
Luxembourg,Burundi,2006,January,1
Luxembourg,Burundi,2006,April,1
Luxembourg,Burundi,2006,July,1
Malta,Burundi,2006,February,1
Netherlands,Burundi,2006,January,17
Netherlands,Burundi,2006,February,32
Netherlands,Burundi,2006,March,60
Netherlands,Burundi,2006,April,93
Netherlands,Burundi,2006,May,42
Netherlands,Burundi,2006,June,54
Netherlands,Burundi,2006,July,22
Netherlands,Burundi,2006,August,37
Netherlands,Burundi,2006,September,18
Netherlands,Burundi,2006,October,35
Netherlands,Burundi,2006,November,24
Netherlands,Burundi,2006,December,21
Norway,Burundi,2006,January,11
Norway,Burundi,2006,February,4
Norway,Burundi,2006,March,3
Norway,Burundi,2006,April,3
Norway,Burundi,2006,May,12
Norway,Burundi,2006,June,12
Norway,Burundi,2006,July,22
Norway,Burundi,2006,August,12
Norway,Burundi,2006,September,10
Norway,Burundi,2006,October,14
Norway,Burundi,2006,November,13
Norway,Burundi,2006,December,10
Poland,Burundi,2006,August,1
Poland,Burundi,2006,October,1
Romania,Burundi,2006,November,1
Spain,Burundi,2006,February,3
Spain,Burundi,2006,March,1
Spain,Burundi,2006,May,1
Spain,Burundi,2006,June,1
Spain,Burundi,2006,August,1
Sweden,Burundi,2006,January,24
Sweden,Burundi,2006,February,20
Sweden,Burundi,2006,March,18
Sweden,Burundi,2006,April,18
Sweden,Burundi,2006,May,20
Sweden,Burundi,2006,June,13
